Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Bahlinger, Christian",Southland,Nicholls St.,Sr,P,,,44.1,196,15.31,7.65,7.66,0.259,0.337,0.371,0.312,21.43,27.55,4.17
"Bahm, Zack",Ivy League,Columbia,Sr,P,,,13,58,12.07,8.62,3.45,0.288,0.362,0.519,0.373,22.41,29.31,4.45
"Baier, Joe",Western Athletic,Chicago St.,Jr,INF,,,2.1,10,0,10,-10,0.125,0.3,0.125,0.229,40,30,6
"Bailey, Charles",Southwestern,Southern U.,So,P,,,10.1,56,10.71,14.29,-3.58,0.325,0.5,0.45,0.426,25,12.5,7.7
"Bailey, Chase",American East,UMBC,Sr,P,,,41,191,22.51,8.38,14.13,0.273,0.356,0.36,0.317,12.57,26.18,3.12
"Bailey, Garrett",Ivy League,Cornell,Fr,P,,,1.1,9,0,0,0,0.556,0.556,0.556,0.488,33.33,11.11,3.15
"Bailey, Logan",Conference USA,Louisiana Tech,Jr,P,,,57.2,237,18.57,3.38,15.19,0.259,0.291,0.361,0.281,19.83,29.11,3.2
"Baille, Davis",Pac 12,Washington St.,So,P,,,9.2,47,10.64,12.77,-2.13,0.39,0.468,0.659,0.473,19.15,23.4,6.84
"Bain, Austin",SEC,LSU,Sr,P,,,11.2,51,27.45,3.92,23.53,0.244,0.294,0.4,0.296,5.88,33.33,4.04
"Bair, Carter",Conference USA,Middle Tenn,Jr,P,,,10.2,47,27.66,6.38,21.28,0.286,0.362,0.524,0.379,21.28,14.89,5.89
"Baird, Butch",Mid American,Ohio,Sr,P,,,32.2,141,18.44,11.35,7.09,0.225,0.333,0.342,0.304,24.11,23.4,4.61
"Baird, Cam",Sun Belt,Texas State,Sr,P,2018,597,22,107,18.69,7.48,11.21,0.319,0.411,0.418,0.367,20.56,18.69,3.37
"Baird, Dustin",Ivy League,Brown,So,P,,,6.1,35,17.14,8.57,8.57,0.308,0.486,0.538,0.448,2.86,31.43,9.87
"Baird, Michael",Missouri Valley,Southern Ill.,Sr,P,2018,693,56.2,237,23.63,3.38,20.25,0.26,0.287,0.402,0.292,20.25,24.47,2.9
"Baker, Andrew",SEC,Florida,So,OF,,,22.1,96,22.92,11.46,11.46,0.21,0.313,0.247,0.262,30.21,13.54,3.51
"Baker, Brandon",Sun Belt,Georgia St.,Sr,P,,,25,119,22.69,21.01,1.68,0.231,0.395,0.308,0.328,15.97,20.17,4.63
"Baker, Hunter",Southern,Furman,Sr,P,,,0.2,6,0,16.67,-16.67,0.5,0.667,0.75,0.589,0,33.33,33.15
"Baker, John",Mid American,Ball St.,So,P,,,60.1,250,31.2,10.8,20.4,0.221,0.312,0.336,0.289,14.8,21.6,2.91
"Baker, Justin",Colonial,Col. of Charleston,Sr,P,,,31,117,25.64,3.42,22.22,0.187,0.239,0.215,0.207,27.35,21.37,1.99
"Baker, Kevin",West Coast,Portland,Jr,P,,,6.1,22,36.36,0,36.36,0.13,0.136,0.174,0.136,18.18,36.36,0.52
"Baker, Robbie",Atlantic 10,Richmond,Sr,P,,,55,224,22.77,7.14,15.63,0.209,0.286,0.296,0.261,19.64,26.79,3.26
"Baker, T.J.",Mid American,Ball St.,Jr,P,,,18.2,89,15.73,14.61,1.12,0.268,0.371,0.408,0.338,33.71,8.99,5.34
"Baker, Tristan",Southern,Western Caro.,Jr,P,,,61.2,306,15.69,7.52,8.17,0.338,0.392,0.51,0.38,18.95,22.22,3.95
"Baksha, J.T.",Summit League,Western Ill.,Jr,P,,,10.2,54,14.81,11.11,3.7,0.271,0.37,0.438,0.357,31.48,18.52,6.19
"Bakst, Daniel",Pac 12,Stanford,So,INF,,,6.2,31,19.35,12.9,6.45,0.231,0.355,0.346,0.319,16.13,29.03,5.73
"Balderrama Jr., Max",Western Athletic,UTRGV,Fr,P,,,11.2,48,35.42,18.75,16.67,0.175,0.333,0.225,0.273,18.75,14.58,2.52
"Balderson, Brock",Big East,Butler,Jr,P,,,11.1,40,17.5,10,7.5,0.088,0.175,0.147,0.153,17.5,42.5,2.97
"Balducci, Antonio",Atlantic 10,Richmond,Fr,P,,,22,99,18.18,12.12,6.06,0.256,0.354,0.451,0.344,18.18,25.25,4.6
"Baldwin, Erin",Southern,Samford,Sr,P,2018,609,39.2,167,18.56,4.19,14.37,0.273,0.311,0.468,0.33,23.95,24.55,4.98
"Ball, Brendan",Patriot,Lafayette,Sr,P,,,18.1,94,13.83,10.64,3.19,0.346,0.415,0.432,0.37,8.51,34.04,4.25
"Ball, Matt",Patriot,Army,Sr,P,,,50,227,29.07,5.73,23.34,0.273,0.335,0.374,0.309,22.03,12.33,2.35
"Ball, Nile",SEC,Missouri,Jr,P,,,23.2,99,22.22,10.1,12.12,0.182,0.313,0.312,0.283,32.32,9.09,4.57
"Ballew, Seth",Southland,Sam Houston St.,Jr,P,,,51.1,212,18.4,8.02,10.38,0.239,0.311,0.346,0.29,23.58,25.47,3.36
"Bandow, Jackson",Ivy League,Yale,Fr,P,,,2,10,10,20,-10,0.25,0.4,0.25,0.314,20,30,5.15
"Banks, Jacob",Mid American,Miami (OH),Sr,P,,,7.1,39,12.82,12.82,0,0.387,0.513,0.677,0.497,17.95,17.95,6.95
"Barbee, Hunter",Southern,The Citadel,Fr,P,,,9.1,43,4.65,16.28,-11.63,0.206,0.372,0.353,0.331,9.3,48.84,7.1
"Barber, Chris",Horizon,Northern Ky.,Jr,P,,,4.1,24,4.17,4.17,0,0.368,0.417,0.579,0.406,16.67,29.17,4.85
