Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Anaya, David",Southland,Incarnate Word,So,INF,,,125,0.216,0.328,0.324,3,0.108,5,9,5.6,14.4,8.8,0.2,0.295,-4,11
"Andersen, Logan",Sun Belt,Arkansas St.,Jr,OF,,,32,0.267,0.313,0.333,0,0.067,1,1,31.25,6.25,-25,0.4,0.285,-1,3
"Anderson, Austin",Mountain West,UNLV,Sr,3B,,,186,0.273,0.323,0.37,0,0.097,4,4,20.97,8.06,-12.91,0.357,0.309,-4,19
"Anderson, Ben",Southern,Furman,Fr,OF,,,74,0.3,0.432,0.4,0,0.1,2,3,28.38,16.22,-12.16,0.462,0.374,2,11
"Anderson, Brennon",West Coast,BYU,Sr,2B,,,161,0.399,0.46,0.608,4,0.21,5,7,13.66,10.56,-3.1,0.449,0.453,16,36
"Anderson, Buck",Western Athletic,CSU Bakersfield,Fr,2B,,,26,0.125,0.154,0.125,0,0,0,0,30.77,3.85,-26.92,0.188,0.133,-4,-1
"Anderson, Chandler",Pac 12,Utah,Jr,OF,,,116,0.255,0.293,0.333,0,0.078,1,1,17.24,4.31,-12.93,0.313,0.282,-5,9
"Anderson, Hunter",Missouri Valley,Southern Ill.,Sr,INF,,,108,0.214,0.278,0.337,2,0.122,1,2,26.85,8.33,-18.52,0.279,0.27,-6,7
"Anderson, Jack",Pac 12,Oregon St.,Sr,OF,,,136,0.246,0.346,0.307,0,0.061,2,4,17.65,11.76,-5.89,0.311,0.303,-4,13
"Anderson, Jay",Southland,Central Ark.,Jr,INF,,,21,0.385,0.619,0.462,0,0.077,0,0,4.76,19.05,14.29,0.417,0.495,3,5
"Anderson, Jordan",SEC,Mississippi St.,Fr,OF,,,7,0.5,0.429,0.5,0,0,0,0,0,0,0,0.429,0.376,0,1
"Anderson, Matt",Sun Belt,Georgia Southern,So,C,,,63,0.236,0.27,0.327,0,0.091,0,0,30.16,1.59,-28.57,0.351,0.268,-4,4
"Anderson, Nick",Big West,UC Irvine,Sr,P,,,53,0.357,0.453,0.524,2,0.167,0,0,15.09,16.98,1.89,0.382,0.416,4,10
"Anderson, Nick",Southland,A&M-Corpus Chris,Jr,OF,,,144,0.264,0.382,0.405,4,0.14,3,7,17.36,9.72,-7.64,0.304,0.351,2,20
"Anderson, Ryan",Big West,UC Davis,Jr,INF,2018,929,123,0.308,0.333,0.47,5,0.162,3,6,14.63,4.07,-10.56,0.326,0.343,1,16
"Anderson, Tanner",OVC,Jacksonville St.,Fr,OF,,,10,0,0.1,0,0,0,0,0,70,10,-60,0,0.069,-2,-1
"Ando, Royce",Big 10,Michigan State,Jr,INF,,,99,0.284,0.323,0.341,1,0.057,5,5,12.12,7.07,-5.05,0.316,0.298,-3,9
"Andrade, Jedd",Big West,Hawaii,Sr,OF,,,3,0.5,0.667,1,0,0.5,0,0,0,33.33,33.33,0.5,0.644,1,1
"Andranovich, Alex",Pac 12,Oregon,Fr,OF,,,5,0.333,0.4,0.333,0,0,0,0,20,20,0,0.333,0.314,0,1
"Andreessen, JD",Metro Atlantic,Monmouth,Jr,C,,,26,0.136,0.154,0.136,0,0,0,0,23.08,0,-23.08,0.176,0.14,-4,-1
"Andrew, Adam",Big South,Charleston So.,Jr,P,,,15,0.143,0.133,0.143,0,0,0,0,26.67,0,-26.67,0.182,0.117,-3,-1
"Andrews, Clayton",Big West,Long Beach St.,Jr,OF,2018,515,69,0.288,0.333,0.356,0,0.068,5,6,2.9,7.25,4.35,0.298,0.316,-1,7
"Andrews, Mitch",Southland,Lamar,Jr,C,,,21,0.158,0.238,0.158,0,0,0,0,19.05,9.52,-9.53,0.2,0.191,-3,0
"Andritsos, Chris",SEC,Texas A&M,So,INF,,,51,0.244,0.294,0.4,1,0.156,1,1,27.45,7.84,-19.61,0.313,0.294,-2,4
"Andronica, Alex",Big South,Charleston So.,So,INF,,,38,0.333,0.395,0.515,1,0.182,1,2,18.42,7.89,-10.53,0.4,0.396,2,7
"Angeli, Doug",Colonial,UNCW,Fr,INF,,,38,0.121,0.211,0.182,0,0.061,0,0,44.74,10.53,-34.21,0.25,0.189,-5,0
"Angelini, Nick",Northeast,Bryant,Jr,OF,,,194,0.314,0.418,0.513,5,0.199,15,17,11.86,12.37,0.51,0.333,0.4,11,34
"Angstadt, David",Colonial,William & Mary,So,INF,,,4,0,0,0,0,0,0,0,75,0,-75,0,0,-1,-1
"Anshaw, Tyler",Big South,Campbell,Jr,INF,,,70,0.237,0.286,0.322,0,0.085,1,2,17.14,8.57,-8.57,0.298,0.281,-3,5
"Anthes, Nathan",Conference USA,UAB,Fr,C,,,5,0,0.2,0,0,0,0,0,20,20,0,0,0.138,-1,0
"Anthony, Josh",SEC,Auburn,Sr,INF,,,123,0.265,0.407,0.367,1,0.102,2,3,17.89,17.07,-0.82,0.329,0.351,2,17
"Antico, Mike",Big East,St. Johns (NY),So,OF,,,20,0.222,0.3,0.278,0,0.056,2,2,25,5,-20,0.308,0.264,-1,1
"Antoncic, Justin",Big 10,Michigan State,So,INF,,,65,0.321,0.431,0.396,0,0.075,8,10,16.92,15.38,-1.54,0.405,0.375,2,10
"Antonetty, Elliot",Southwestern,Jackson St.,So,C,,,3,0.333,0.333,0.333,0,0,0,0,33.33,0,-33.33,0.5,0.293,0,0
"Antonini, Aaron",Conference USA,Middle Tenn,So,C,,,72,0.213,0.306,0.213,0,0,0,0,20.83,4.17,-16.66,0.283,0.254,-5,4
"Antos, Kyle",Missouri Valley,Bradley,Fr,C,,,7,0.6,0.714,0.6,0,0,1,1,0,28.57,28.57,0.6,0.574,1,2
"Aplin, Rhett",ACC,Florida St,Sr,OF,2018,842,152,0.258,0.388,0.383,2,0.125,2,2,19.08,16.45,-2.63,0.315,0.345,1,20
"Aponte, Alejandro",Atlantic 10,George Mason,Jr,INF,,,116,0.168,0.267,0.189,0,0.021,0,1,11.21,12.07,0.86,0.188,0.223,-11,3
"Aponte, Jancarlos",Southwestern,Mississippi Val.,Fr,INF,,,21,0.125,0.286,0.25,0,0.125,0,0,14.29,14.29,0,0.154,0.262,-1,1
"Apostle, Jason",Ivy League,Cornell,Fr,OF,,,14,0,0.143,0,0,0,0,0,35.71,14.29,-21.42,0,0.106,-3,-1
"Archambo, AJ",Summit League,Oral Roberts,Fr,OF,,,22,0.111,0.273,0.111,0,0,0,0,31.82,18.18,-13.64,0.182,0.205,-2,0
"Arciuolo, Drew",Metro Atlantic,Fairfield,Sr,OF,,,222,0.362,0.419,0.532,5,0.17,12,15,10.81,10.81,0,0.391,0.413,15,42
"Ard, Nolan",Summit League,Western Ill.,Jr,INF,,,10,0.111,0.2,0.111,0,0,0,0,30,0,-30,0.167,0.16,-1,0
"Ardito, Zachary",American East,Hartford,So,INF,,,70,0.203,0.314,0.288,0,0.085,5,6,12.86,14.29,1.43,0.24,0.279,-3,5
"Arenas, Jorge",ASUN,Stetson,So,SS,,,104,0.242,0.298,0.396,2,0.154,3,7,19.23,8.65,-10.58,0.282,0.301,-3,10
"Arias de los Santos, Luis",Northeast,LIU Brooklyn,Jr,INF,,,165,0.293,0.406,0.398,1,0.105,12,14,20,15.76,-4.24,0.376,0.361,4,24
"Arias, Bryan",Conference USA,UTSA,Jr,INF,,,196,0.331,0.413,0.515,4,0.183,10,11,17.86,11.73,-6.13,0.397,0.399,11,34
"Armendinger, Matt",Northeast,Fairleigh Dickinson,So,INF,,,17,0.214,0.353,0.214,0,0,1,2,47.06,17.65,-29.41,0.5,0.277,-1,1
"Armenta, Angelo",Pac 12,Southern Cal,Jr,INF,,,42,0.132,0.167,0.158,0,0.026,0,0,14.29,2.38,-11.91,0.152,0.15,-7,-1
"Armitage, Reece",Metro Atlantic,Marist,Fr,OF,,,18,0.077,0.278,0.154,0,0.077,2,2,44.44,16.67,-27.77,0.2,0.237,-1,1
