Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,Pitches,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,ERA,FIP
"Appel, Mike",Northeast,Central Conn. St.,Jr,P,,,59.2,279,431,20.07,15.05,5.02,0.264,0.401,0.345,0.341,16.13,21.86,4.68,4.21
"Applegate, Jason",Big East,Villanova,Jr,P,,,22,99,298,22.22,9.09,13.13,0.277,0.374,0.41,0.344,21.21,17.17,3.68,4.24
"Archambault, Jesse",Northeast,Mt. St. Marys,Sr,DH,,,28,157,483,15.29,24.84,-9.55,0.278,0.484,0.444,0.414,10.83,23.57,11.89,7.75
"Archer, Andy",ACC,Georgia Tech,So,P,,,47,199,683,20.6,8.54,12.06,0.244,0.307,0.335,0.282,22.11,24.12,3.64,3.38
"Arel, John",American East,Maine,Sr,P,,,65.1,290,480,19.66,12.07,7.59,0.22,0.348,0.386,0.325,16.9,26.9,4.41,5.05
"Arella, Tyler",Big East,Villanova,So,P,,,44,207,692,19.81,9.18,10.63,0.3,0.362,0.439,0.344,13.53,27.54,6.14,3.9
"Arens, Matt",Big West,Cal Poly,Fr,P,,,32,143,515,13.99,9.79,4.2,0.244,0.329,0.317,0.29,18.18,32.87,3.66,3.9
"Arguelles, Andy",Sun Belt,South Ala.,So,P,,,18,81,351,20.99,18.52,2.47,0.203,0.358,0.313,0.31,13.58,28.4,5.5,4.65
"Arias, Jaime",Mountain West,Fresno St.,Fr,P,,,68.1,279,890,22.22,4.3,17.92,0.223,0.276,0.41,0.293,20.43,27.24,3.69,4.73
"Arjona, Kyle",Southland,New Orleans,Jr,P,,,65.1,295,1022,18.64,6.44,12.2,0.28,0.336,0.398,0.318,26.78,18.31,4.68,3.85
"Armstrong, Caleb",Sun Belt,Louisiana,So,P,,,6.1,42,157,16.67,23.81,-7.14,0.37,0.595,0.444,0.477,14.29,9.52,8.53,8.23
