Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Andronica, Alex",Big South,Charleston So.,So,INF,,,199,0.218,0.291,0.313,2,0.095,3,4,28.14,8.04,-20.1,0.306,0.271,-11,14
"Angeli, Doug",Colonial,UNCW,Fr,INF,,,81,0.247,0.309,0.315,0,0.068,3,3,30.86,8.64,-22.22,0.367,0.277,-4,6
"Angelini, Nick",Northeast,Bryant,Jr,OF,,,462,0.295,0.4,0.439,8,0.145,26,34,14.72,11.9,-2.82,0.335,0.369,13,70
"Angstadt, David",Colonial,William & Mary,So,INF,,,15,0.143,0.133,0.214,0,0.071,0,0,60,0,-60,0.333,0.141,-2,-1
"Anshaw, Tyler",Big South,Campbell,Jr,INF,,,202,0.248,0.347,0.379,3,0.13,8,8,14.36,11.39,-2.97,0.287,0.334,0,24
"Anthes, Nathan",Conference USA,UAB,Fr,C,,,9,0.111,0.111,0.111,0,0,0,0,22.22,0,-22.22,0.143,0.098,-2,-1
"Anthony, Josh",SEC,Auburn,Sr,INF,,,416,0.288,0.382,0.387,5,0.1,12,19,14.66,11.54,-3.12,0.33,0.342,2,53
"Antico, Mike",Big East,St. Johns (NY),So,OF,,,191,0.309,0.429,0.507,6,0.197,12,14,15.18,17.28,2.1,0.342,0.403,11,34
"Antoncic, Justin",Big 10,Michigan State,So,INF,,,152,0.244,0.322,0.321,1,0.076,6,10,10.53,8.55,-1.98,0.263,0.287,-6,12
"Antonetty, Elliot",Southwestern,Jackson St.,So,C,,,31,0.24,0.355,0.4,1,0.16,0,0,16.13,6.45,-9.68,0.25,0.333,0,4
"Antonini, Aaron",Conference USA,Middle Tenn,So,C,,,159,0.243,0.333,0.382,4,0.14,1,1,11.32,10.69,-0.63,0.248,0.314,-3,17
"Antos, Kyle",Missouri Valley,Bradley,Fr,C,,,29,0.227,0.345,0.364,0,0.136,0,0,31.03,17.24,-13.79,0.357,0.318,0,3
"Aplin, Rhett",ACC,Florida St,Sr,OF,2018,842,310,0.333,0.445,0.494,6,0.161,5,7,16.13,15.16,-0.97,0.393,0.41,20,57
"Aponte, Alejandro",Atlantic 10,George Mason,Jr,INF,,,427,0.254,0.323,0.299,1,0.045,1,6,11.48,8.43,-3.05,0.288,0.284,-18,34
"Aponte, Jancarlos",Southwestern,Mississippi Val.,Fr,INF,,,145,0.214,0.269,0.26,0,0.046,2,5,14.48,7.59,-6.89,0.255,0.242,-11,6
