Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Arnold, Josh",Metro Atlantic,Fairfield,So,P,,,26.1,132,18.94,18.18,0.76,0.231,0.386,0.337,0.333,21.97,19.7,5.33
"Arnone, Riley",Big South,Winthrop,Sr,P,,,40.1,253,16.6,7.51,9.09,0.306,0.383,0.407,0.348,19.76,22.92,5.32
"Arntsen, Steve",Metro Atlantic,Manhattan,Sr,P,,,17.2,120,10.83,10.83,0,0.358,0.458,0.484,0.407,22.5,17.5,5.3
"Ash, Konnor",SEC,Missouri,Fr,P,,,5.2,24,20.83,8.33,12.5,0.261,0.333,0.391,0.323,20.83,29.17,2.38
"Ashkinos, Jacob",Big 12,Baylor,So,P,,,13,54,27.78,14.81,12.97,0.152,0.278,0.348,0.279,16.67,27.78,4.69
"Ashur, Andrew",Atlantic 10,Davidson,Jr,P,,,12,91,21.98,14.29,7.69,0.273,0.385,0.39,0.345,19.78,19.78,3.31
"Ashworth, Colin",Big West,Hawaii,Sr,P,,,5,44,6.82,15.91,-9.09,0.389,0.477,0.639,0.465,22.73,20.45,11.35
"Assante, Anthony",Metro Atlantic,Saint Peters,Sr,P,,,24.7,147,12.93,9.52,3.41,0.367,0.429,0.547,0.414,14.97,27.21,5.13
"Aubin, Casey",Atlantic 10,Massachusetts,Jr,P,,,30.4,157,18.47,10.19,8.28,0.312,0.382,0.482,0.372,18.47,24.84,4.1
"Aufiero, Matt",Northeast,Sacred Heart,Fr,P,,,8.2,42,16.67,0,16.67,0.366,0.357,0.512,0.367,16.67,28.57,3.03
"Aungst, Justin",Atlantic 10,Saint Josephs,Sr,P,,,59.1,294,18.71,8.5,10.21,0.233,0.31,0.364,0.295,28.57,20.07,3.74
"Ausley, Landon",Southland,Sam Houston St.,Fr,P,,,7,30,30,13.33,16.67,0.16,0.267,0.16,0.209,13.33,26.67,2.29
"Austin, Logan",Sun Belt,UT Arlington,Jr,P,,,19.8,99,16.16,8.08,8.08,0.337,0.394,0.416,0.355,19.19,24.24,3.55
"Ausua, Miguel",Summit League,Oral Roberts,Sr,P,2018,876,52,247,23.08,10.93,12.15,0.23,0.332,0.319,0.296,24.29,19.03,3.61
"Autin, Zach",Southland,Nicholls St.,So,P,,,5.5,43,11.63,23.26,-11.63,0.308,0.558,0.346,0.433,18.6,11.63,10.06
"Avventino, Brenden",Big West,UC Riverside,Fr,UT,,,1.1,5,0,0,0,0.2,0.2,0.8,0.403,20,60,14.97
"Ay, Bobby",Big West,Cal Poly,Jr,P,,,26.1,134,12.69,10.45,2.24,0.267,0.343,0.405,0.325,26.87,23.88,4.56
"Ayala, A.G.",Southland,A&M-Corpus Chris,Fr,P,,,18,69,18.84,5.8,13.04,0.18,0.261,0.328,0.261,31.88,21.74,5.04
"Ayer, Brett",Colonial,James Madison,So,P,,,6.1,30,33.33,13.33,20,0.182,0.333,0.273,0.282,10,16.67,2.82
"Ayers, Bryan",Sun Belt,Arkansas St.,Sr,P,,,41.7,229,20.96,16.59,4.37,0.283,0.406,0.497,0.389,16.59,20.96,6.22
"Baar, Keegan",Big 10,Michigan State,Sr,P,,,24.1,126,18.25,3.97,14.28,0.19,0.23,0.302,0.23,33.33,23.02,3.73
"Baayoun, Zak",Big West,Long Beach St.,So,P,,,29.8,141,29.08,8.51,20.57,0.2,0.298,0.267,0.26,27.66,11.35,2.64
"Bach, Carter",ACC,Wake Forest,So,P,,,11.3,77,10.39,22.08,-11.69,0.278,0.494,0.481,0.432,24.68,15.58,10.14
"Bachman, Marc",Ivy League,Dartmouth,Sr,P,,,12.4,86,11.63,9.3,2.33,0.227,0.314,0.453,0.328,32.56,23.26,7.1
"Backhus, Kyle",Southland,Sam Houston St.,So,P,,,19.5,120,20,15,5,0.223,0.392,0.287,0.323,30.83,10,4.69
"Backman, Trevor",Metro Atlantic,Marist,Fr,P,,,6,29,3.45,10.34,-6.89,0.261,0.414,0.391,0.364,27.59,27.59,5.81
"Backofen, Kyle",Sun Belt,La.-Monroe,So,P,,,16.7,97,19.59,4.12,15.47,0.352,0.381,0.516,0.383,17.53,23.71,4.11
"Bader, Ryan",Big 10,Northwestern,Fr,P,,,11.1,48,16.67,6.25,10.42,0.267,0.313,0.311,0.278,27.08,25,2.52
"Baduel, Raul",Southwestern,Grambling,Sr,P,,,14.5,78,14.1,17.95,-3.85,0.306,0.423,0.484,0.389,16.67,24.36,5.42
"Baeza, Alex",Big West,Hawaii,Fr,INF,,,0.1,2,50,50,0,0,0.5,0,0.345,0,0,13.15
"Bafus, Curtis",Atlantic 10,VCU,Jr,P,,,9.2,40,20,15,5,0.121,0.275,0.212,0.238,12.5,40,5.1
"Bahlinger, Christian",Southland,Nicholls St.,Sr,P,,,22,93,20.43,4.3,16.13,0.294,0.344,0.353,0.309,20.43,23.66,2.37
"Bahm, Zack",Ivy League,Columbia,Sr,P,,,21.6,134,8.96,9.7,-0.74,0.322,0.388,0.548,0.39,20.9,28.36,5.92
