Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Anderson, Ryan",Mid-Eastern,Florida A&M,Sr,P,2018,929,1,1,1,1,0,0,0,0,0,0,0,1,0.878,0,1
"Anderson, Ryan",Big West,UC Davis,Jr,INF,2018,929,550,0.323,0.367,0.48,14,0.157,13,28,12.91,6.18,-6.73,0.351,0.363,13,80
"Anderson, Tanner",OVC,Jacksonville St.,Fr,OF,,,22,0.059,0.273,0.059,0,0,0,0,45.45,22.73,-22.72,0.143,0.197,-3,0
"Ando, Royce",Big 10,Michigan State,Jr,INF,,,393,0.249,0.305,0.317,2,0.069,14,19,16.54,7.63,-8.91,0.298,0.28,-18,30
"Andrade, Jedd",Big West,Hawaii,Sr,OF,,,22,0.211,0.273,0.263,0,0.053,0,0,9.09,9.09,0,0.235,0.25,-2,1
"Andranovich, Alex",Pac 12,Oregon,Fr,OF,,,8,0.167,0.25,0.167,0,0,0,0,25,12.5,-12.5,0.2,0.196,-1,0
"Andreessen, JD",Metro Atlantic,Monmouth,Jr,C,,,143,0.228,0.329,0.404,4,0.175,2,2,19.58,8.39,-11.19,0.262,0.329,-1,17
"Andrew, Adam",Big South,Charleston So.,Jr,P,,,46,0.098,0.152,0.122,0,0.024,2,4,21.74,6.52,-15.22,0.121,0.129,-8,-2
"Andrews, Clayton",Big West,Long Beach St.,Jr,OF,2018,515,257,0.302,0.366,0.377,0,0.074,13,19,2.33,9.73,7.4,0.308,0.337,0,32
"Andrews, Mitch",Southland,Lamar,Jr,C,,,68,0.15,0.25,0.15,0,0,0,0,22.06,11.76,-10.3,0.2,0.198,-8,0
"Andritsos, Chris",SEC,Texas A&M,So,INF,,,164,0.287,0.341,0.503,7,0.217,1,1,25,7.93,-17.07,0.337,0.354,3,23
"Andronica, Alex",Big South,Charleston So.,So,INF,,,237,0.236,0.308,0.344,3,0.108,4,6,26.58,8.02,-18.56,0.322,0.291,-9,20
"Angeli, Doug",Colonial,UNCW,Fr,INF,,,119,0.208,0.277,0.274,0,0.066,3,3,35.29,9.24,-26.05,0.338,0.25,-9,6
"Angelini, Nick",Northeast,Bryant,Jr,OF,,,679,0.306,0.412,0.462,13,0.156,43,54,13.4,12.52,-0.88,0.341,0.382,27,110
"Angstadt, David",Colonial,William & Mary,So,INF,,,19,0.111,0.105,0.167,0,0.056,0,0,63.16,0,-63.16,0.286,0.112,-4,-1
"Anshaw, Tyler",Big South,Campbell,Jr,INF,,,272,0.245,0.331,0.364,3,0.118,9,10,15.07,10.66,-4.41,0.29,0.32,-3,30
"Anthes, Nathan",Conference USA,UAB,Fr,C,,,14,0.077,0.143,0.077,0,0,0,0,21.43,7.14,-14.29,0.1,0.112,-3,-1
"Anthony, Josh",SEC,Auburn,Sr,INF,,,539,0.283,0.388,0.383,6,0.1,14,22,15.4,12.8,-2.6,0.33,0.344,4,70
"Antico, Mike",Big East,St. Johns (NY),So,OF,,,210,0.302,0.419,0.485,6,0.183,14,16,16.19,16.19,0,0.341,0.392,10,36
"Antoncic, Justin",Big 10,Michigan State,So,INF,,,217,0.266,0.355,0.342,1,0.076,14,20,12.44,10.6,-1.84,0.3,0.313,-4,22
"Antonetty, Elliot",Southwestern,Jackson St.,So,C,,,34,0.25,0.353,0.393,1,0.143,0,0,17.65,5.88,-11.77,0.273,0.329,0,4
"Antonini, Aaron",Conference USA,Middle Tenn,So,C,,,230,0.235,0.326,0.332,4,0.097,1,1,14.35,8.7,-5.65,0.259,0.297,-7,21
"Antos, Kyle",Missouri Valley,Bradley,Fr,C,,,36,0.296,0.417,0.407,0,0.111,1,1,25,19.44,-5.56,0.421,0.369,1,5
"Aplin, Rhett",ACC,Florida St,Sr,OF,2018,842,462,0.309,0.426,0.458,8,0.149,7,11,17.1,15.58,-1.52,0.368,0.389,21,77
"Aponte, Alejandro",Atlantic 10,George Mason,Jr,INF,,,561,0.241,0.312,0.288,1,0.047,1,7,11.05,8.91,-2.14,0.27,0.274,-29,40
"Aponte, Jancarlos",Southwestern,Mississippi Val.,Fr,INF,,,166,0.204,0.271,0.259,0,0.054,2,5,14.46,8.43,-6.03,0.244,0.245,-13,8
"Apostle, Jason",Ivy League,Cornell,Fr,OF,,,83,0.197,0.313,0.273,1,0.076,2,3,28.92,12.05,-16.87,0.279,0.276,-4,6
"Archambault, Jesse",Northeast,Mt. St. Marys,Sr,DH,,,7,0,0,0,0,0,0,0,57.14,0,-57.14,0,0,-2,-1
"Archambo, AJ",Summit League,Oral Roberts,Fr,OF,,,57,0.095,0.281,0.143,0,0.048,0,1,40.35,19.3,-21.05,0.2,0.228,-5,2
"Arciuolo, Drew",Metro Atlantic,Fairfield,Sr,OF,,,823,0.306,0.379,0.39,6,0.084,48,61,13.49,10.69,-2.8,0.352,0.343,6,106
"Ard, Nolan",Summit League,Western Ill.,Jr,INF,,,19,0.111,0.158,0.111,0,0,0,0,36.84,0,-36.84,0.182,0.13,-3,-1
"Ardito, Zachary",American East,Hartford,So,INF,,,289,0.26,0.311,0.339,0,0.079,13,18,9,7.61,-1.39,0.282,0.288,-11,24
"Arenas, Jorge",ASUN,Stetson,So,SS,,,482,0.251,0.307,0.372,8,0.121,17,26,21.99,6.64,-15.35,0.311,0.298,-15,44
"Arias de los Santos, Luis",Northeast,LIU Brooklyn,Jr,INF,,,610,0.251,0.351,0.369,10,0.118,29,37,19.02,12.62,-6.4,0.305,0.327,-4,70
"Arias, Bryan",Conference USA,UTSA,Jr,INF,,,721,0.324,0.397,0.515,20,0.191,24,35,19.97,9.99,-9.98,0.391,0.391,34,122
"Armendinger, Matt",Northeast,Fairleigh Dickinson,So,INF,,,52,0.136,0.231,0.136,0,0,2,3,42.31,9.62,-32.69,0.25,0.182,-7,0
"Armenta, Angelo",Pac 12,Southern Cal,Jr,INF,,,185,0.239,0.308,0.283,1,0.044,1,4,13.51,9.73,-3.78,0.272,0.271,-10,13
"Armitage, Reece",Metro Atlantic,Marist,Fr,OF,,,123,0.282,0.382,0.398,1,0.117,3,5,21.14,13.01,-8.13,0.368,0.35,2,17
"Armitage, Robbie",Metro Atlantic,Marist,Fr,INF,,,4,0,0.25,0,0,0,0,0,50,25,-25,0,0.173,-1,0
"Armstrong, Andy",Pac 12,Oregon St.,So,INF,,,176,0.266,0.324,0.42,2,0.154,2,2,12.5,7.39,-5.11,0.303,0.338,0,22
"Armstrong, Sam",ASUN,Jacksonville,Sr,INF,,,849,0.261,0.379,0.427,24,0.166,9,15,26.15,15.43,-10.72,0.347,0.357,16,119
"Arndorfer, John",ACC,Notre Dame,Fr,OF,,,1,0,0,0,0,0,0,0,100,0,-100,NA,0,0,0
"Arndt, Josh",Ivy League,Cornell,Jr,INF,,,299,0.218,0.271,0.316,2,0.098,5,8,19.06,6.35,-12.71,0.267,0.26,-19,18
"Arnold, Chase",Atlantic 10,La Salle,Sr,1B,,,440,0.207,0.266,0.325,6,0.118,1,2,32.27,7.73,-24.54,0.297,0.258,-29,25
"Arnold, Josh",Metro Atlantic,Fairfield,So,P,,,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
"Arnold, Sean",Southland,Incarnate Word,So,C,,,266,0.255,0.41,0.328,1,0.074,7,11,12.03,15.79,3.76,0.293,0.344,2,34
"Arpan, Chris",West Coast,Portland,So,UT,,,100,0.229,0.34,0.337,2,0.108,0,0,30,12,-18,0.333,0.311,-2,10
"Arruda, JT",Mountain West,Fresno St.,Fr,INF,,,244,0.305,0.389,0.5,8,0.195,4,5,18.03,12.3,-5.73,0.35,0.382,10,39
"Artigues, Jonathon",AAC,Tulane,So,INF,,,287,0.295,0.376,0.406,3,0.112,10,12,24.74,6.97,-17.77,0.401,0.348,3,38
"Artis, D.J.",Big South,Liberty,Jr,OF,2018,218,829,0.339,0.495,0.487,12,0.148,72,85,12.91,20.02,7.11,0.39,0.432,68,169
"Artz, Jake",Atlantic 10,Saint Josephs,Fr,OF,,,76,0.138,0.25,0.185,0,0.046,2,2,26.32,11.84,-14.48,0.196,0.21,-8,1
"Asbill, Josh",Big South,Charleston So.,Fr,INF,,,52,0.171,0.308,0.244,0,0.073,0,0,32.69,15.38,-17.31,0.292,0.269,-3,3
"Asher, Brooks",Big 12,Kansas,So,C,,,18,0.375,0.444,0.438,0,0.063,0,0,27.78,11.11,-16.67,0.545,0.39,1,3
"Ashford, Zach",Mountain West,Fresno St.,Jr,OF,,,563,0.332,0.394,0.438,3,0.106,15,25,12.97,8.7,-4.27,0.384,0.368,16,84
"Ashley, Drew",Big 10,Indiana,Fr,C,,,93,0.303,0.344,0.461,3,0.158,1,1,13.98,7.53,-6.45,0.323,0.356,2,13
"Aslett, Ben",OVC,UT Martin,Sr,INF,,,292,0.313,0.397,0.44,6,0.128,0,1,17.12,8.56,-8.56,0.365,0.369,8,44
"Assante, Anthony",Metro Atlantic,Saint Peters,Sr,P,,,47,0.286,0.34,0.357,0,0.071,0,0,17.02,6.38,-10.64,0.343,0.307,-1,5
"Asta, Matt",Western Athletic,Grand Canyon,Jr,C,,,2,0,0,0,0,0,0,0,50,0,-50,0,0,-1,0
"Athey, Jeff",Big 10,Nebraska,Fr,INF,,,39,0.129,0.308,0.29,1,0.161,0,0,20.51,12.82,-7.69,0.136,0.282,-2,3
"Atkins, Grant",OVC,Jacksonville St.,Fr,OF,,,74,0.206,0.311,0.254,0,0.048,1,3,25.68,13.51,-12.17,0.295,0.266,-4,5
"Atkins, Nick",Mountain West,New Mexico,Fr,INF,,,46,0.186,0.217,0.186,0,0,1,1,19.57,2.17,-17.4,0.235,0.187,-6,0
"Atterbury, Jalen",Mid-Eastern,Savannah St.,Jr,DH,,,498,0.253,0.339,0.324,2,0.071,44,53,16.87,8.23,-8.64,0.309,0.302,-14,47
"Aucker, Aaron",Conference USA,Middle Tenn,Sr,INF,,,589,0.326,0.407,0.561,25,0.235,1,1,17.66,8.66,-9,0.365,0.411,38,110
"Ausmus, Rainer",Big 12,Kansas State,Jr,INF,,,160,0.194,0.306,0.328,3,0.134,0,0,21.25,10,-11.25,0.235,0.289,-6,13
"Austin, Cross",Southland,Sam Houston St.,So,INF,,,46,0.103,0.196,0.154,0,0.051,0,0,19.57,4.35,-15.22,0.125,0.168,-6,-1
"Austrie, Dion",Metro Atlantic,Iona,Sr,INF,,,56,0.2,0.339,0.2,0,0,2,3,16.07,10.71,-5.36,0.25,0.271,-3,4
"Avans, Drew",Southland,Southeastern LA.,Sr,OF,2018,1004,696,0.308,0.432,0.484,17,0.175,63,80,18.25,15.66,-2.59,0.368,0.4,38,123
"Avant, Chandler",SEC,Alabama,Sr,INF,2018,890,932,0.281,0.343,0.371,5,0.09,24,38,12.55,6.97,-5.58,0.319,0.318,-13,100
