Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Anderson, Tanner",OVC,Jacksonville St.,Fr,OF,,,10,0,0.1,0,0,0,0,0,70,10,-60,0,0.069,-2,-1
"Ando, Royce",Big 10,Michigan State,Jr,INF,,,16,0.154,0.25,0.154,0,0,2,2,6.25,12.5,6.25,0.154,0.196,-2,0
"Andrade, Jedd",Big West,Hawaii,Sr,OF,,,2,0.5,0.5,1,0,0.5,0,0,0,0,0,0.5,0.621,0,1
"Andranovich, Alex",Pac 12,Oregon,Fr,OF,,,5,0.333,0.4,0.333,0,0,0,0,20,20,0,0.333,0.314,0,1
"Andreessen, JD",Metro Atlantic,Monmouth,Jr,C,,,26,0.136,0.167,0.136,0,0,0,0,23.08,0,-23.08,0.176,0.14,-4,-1
"Andrew, Adam",Big South,Charleston So.,Jr,P,,,2,0,0,0,0,0,0,0,50,0,-50,0,0,-1,0
"Andrews, Clayton",Big West,Long Beach St.,Jr,OF,2018,515,69,0.288,0.354,0.356,0,0.068,5,6,2.9,7.25,4.35,0.298,0.316,-1,7
"Andrews, Mitch",Southland,Lamar,Jr,C,,,15,0.143,0.2,0.143,0,0,0,0,20,6.67,-13.33,0.182,0.163,-2,0
"Andritsos, Chris",SEC,Texas A&M,So,INF,,,51,0.244,0.294,0.4,1,0.156,1,1,27.45,7.84,-19.61,0.313,0.294,-2,4
"Andronica, Alex",Big South,Charleston So.,So,INF,,,17,0.294,0.294,0.353,0,0.059,1,1,29.41,0,-29.41,0.417,0.28,-1,1
"Angeli, Doug",Colonial,UNCW,Fr,INF,,,38,0.121,0.216,0.182,0,0.061,0,0,44.74,10.53,-34.21,0.25,0.189,-5,0
"Angelini, Nick",Northeast,Bryant,Jr,OF,,,68,0.25,0.394,0.462,2,0.212,6,6,16.18,10.29,-5.89,0.275,0.373,2,10
"Angstadt, David",Colonial,William & Mary,So,INF,,,3,0,0,0,0,0,0,0,100,0,-100,NA,0,-1,0
"Anshaw, Tyler",Big South,Campbell,Jr,INF,,,70,0.237,0.308,0.322,0,0.085,1,2,17.14,8.57,-8.57,0.298,0.281,-3,5
