Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Anderson, Grant",Southland,McNeese,Jr,P,2018,628,89.3,434,21.66,9.22,12.44,0.257,0.336,0.382,0.315,26.27,16.13,3.89
"Anderson, Jack",Colonial,Hofstra,Fr,P,,,1,6,0,16.67,-16.67,0.25,0.333,0.25,0.262,33.33,16.67,6.15
"Anderson, Jack",Ivy League,Princeton,Fr,P,,,14,67,14.93,10.45,4.48,0.291,0.373,0.418,0.342,20.9,22.39,4.58
"Anderson, Jack",Missouri Valley,Illinois St.,Fr,P,,,3.1,23,0,13.04,-13.04,0.474,0.565,0.737,0.546,17.39,26.09,11.21
"Anderson, Ka'ikepono",Sun Belt,UT Arlington,Jr,P,,,48.2,211,20.38,6.16,14.22,0.278,0.327,0.448,0.332,19.91,26.07,3.91
"Anderson, Kyle",Northeast,Central Conn. St.,Sr,P,,,31.4,152,18.42,5.92,12.5,0.277,0.329,0.4,0.312,21.05,22.37,4.36
"Anderson, Landon",Big West,Cal St. Fullerton,Fr,P,,,4.2,24,12.5,8.33,4.17,0.3,0.333,0.45,0.324,8.33,37.5,6.24
"Anderson, Luke",SEC,Missouri,Fr,P,,,6.1,35,14.29,22.86,-8.57,0.269,0.457,0.462,0.407,31.43,8.57,8.07
"Anderson, Mark",Patriot,Lafayette,So,P,,,51.7,267,17.23,13.11,4.12,0.278,0.378,0.398,0.339,21.72,19.48,4
"Anderson, Mason",Colonial,Towson,Jr,P,,,23.8,146,12.33,16.44,-4.11,0.289,0.432,0.447,0.387,22.6,20.55,7.05
"Anderson, Nick",Big West,UC Irvine,Sr,P,,,15,71,19.72,8.45,11.27,0.311,0.366,0.492,0.361,18.31,21.13,3.55
"Anderson, Reid",Ivy League,Brown,Sr,P,2018,1207,80.2,406,17.73,10.84,6.89,0.298,0.394,0.439,0.364,24.88,16.5,4.82
"Anderson, Ryan",Mid-Eastern,Florida A&M,Sr,P,,,160.2,790,14.56,6.84,7.72,0.313,0.377,0.463,0.361,23.67,21.65,4.87
"Anderson, Ryan",Mountain West,Nevada,So,P,,,39.8,197,20.81,7.61,13.2,0.285,0.355,0.419,0.336,22.34,19.29,3.32
"Anderson, Tyler",Mid American,Bowling Green,Sr,P,,,103.2,487,15.4,9.45,5.95,0.269,0.359,0.386,0.328,24.85,21.15,4.46
"Anderson, Tyler",OVC,Murray St.,Sr,P,,,42.2,232,30.6,12.5,18.1,0.258,0.353,0.374,0.322,16.38,16.38,2.91
"Anderson, William",Mid American,Northern Ill.,Jr,P,,,97.6,473,16.49,7.19,9.3,0.302,0.368,0.41,0.339,23.47,20.51,4.02
"Andrews, Brandon",Southland,Nicholls St.,Fr,P,,,11,48,14.58,6.25,8.33,0.244,0.313,0.537,0.35,12.5,37.5,6.78
"Andrews, Clayton",Big West,Long Beach St.,Jr,OF,2018,515,74,285,33.33,2.81,30.52,0.201,0.239,0.29,0.232,17.89,24.21,1.85
"Andrews, Josh",Western Athletic,Grand Canyon,Jr,P,,,27.8,145,28.97,16.55,12.42,0.14,0.31,0.228,0.261,11.03,27.59,3.72
