Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Ashley, Drew",Big 10,Indiana,Fr,C,,,56,0.271,0.321,0.5,3,0.229,0,0,12.5,5.36,-7.14,0.256,0.346,1,7
"Aslett, Ben",OVC,UT Martin,Sr,INF,,,150,0.308,0.393,0.438,4,0.13,0,0,21.33,8.67,-12.66,0.379,0.365,4,22
"Assante, Anthony",Metro Atlantic,Saint Peters,Sr,P,,,35,0.267,0.343,0.367,0,0.1,0,0,17.14,8.57,-8.57,0.32,0.312,-1,4
"Asta, Matt",Western Athletic,Grand Canyon,Jr,C,,,1,0,0,0,0,0,0,0,100,0,-100,NA,0,0,0
"Athey, Jeff",Big 10,Nebraska,Fr,INF,,,20,0.125,0.3,0.312,1,0.187,0,0,20,15,-5,0.091,0.284,-1,2
"Atkins, Grant",OVC,Jacksonville St.,Fr,OF,,,57,0.255,0.375,0.319,0,0.064,1,3,24.56,15.79,-8.77,0.364,0.319,-1,6
"Atkins, Nick",Mountain West,New Mexico,Fr,INF,,,33,0.2,0.25,0.2,0,0,1,1,15.15,3.03,-12.12,0.24,0.209,-4,1
"Atterbury, Jalen",Mid-Eastern,Savannah St.,Jr,2B,,,127,0.259,0.317,0.362,2,0.103,15,19,23.62,4.72,-18.9,0.333,0.3,-4,12
"Aucker, Aaron",Conference USA,Middle Tenn,Sr,INF,,,184,0.357,0.435,0.617,8,0.26,1,1,17.93,7.61,-10.32,0.398,0.439,16,39
"Ausmus, Rainer",Big 12,Kansas State,Jr,INF,,,111,0.196,0.312,0.326,2,0.13,0,0,24.32,8.11,-16.21,0.25,0.289,-4,9
"Austin, Cross",Southland,Sam Houston St.,So,INF,,,18,0.071,0.278,0.214,0,0.143,0,0,16.67,5.56,-11.11,0.091,0.246,-1,1
"Austrie, Dion",Metro Atlantic,Iona,Sr,INF,,,28,0.2,0.407,0.2,0,0,2,3,3.57,17.86,14.29,0.211,0.311,-1,3
"Avans, Drew",Southland,Southeastern LA.,Sr,OF,2018,1004,180,0.374,0.5,0.669,9,0.295,15,22,13.33,18.33,5,0.398,0.487,23,45
"Avant, Chandler",SEC,Alabama,Sr,INF,2018,890,180,0.264,0.376,0.378,3,0.114,1,2,13.33,11.67,-1.66,0.293,0.338,0,22
"Avant, Christian",Sun Belt,Georgia Southern,Fr,C,,,146,0.281,0.387,0.347,2,0.066,10,11,11.64,6.16,-5.48,0.314,0.336,0,18
"Avers, Jason",Sun Belt,Appalachian St.,Fr,C,,,95,0.186,0.263,0.279,1,0.093,0,0,30.53,9.47,-21.06,0.268,0.244,-7,4
"Aviles, Luis",Conference USA,Rice,Fr,C,,,20,0.278,0.35,0.5,1,0.222,0,0,35,5,-30,0.4,0.365,1,3
"Avitia, David",Western Athletic,Grand Canyon,Fr,C,,,61,0.208,0.295,0.245,0,0.037,0,0,24.59,9.84,-14.75,0.282,0.25,-4,3
"Avventino, Brenden",Big West,UC Riverside,Fr,UT,,,40,0.312,0.45,0.375,0,0.063,0,1,30,17.5,-12.5,0.5,0.377,1,6
"Ayers, Chris",Missouri Valley,Indiana St.,Jr,OF,,,48,0.231,0.34,0.564,3,0.333,0,0,27.08,8.33,-18.75,0.25,0.376,2,8
